11544,0
12755,0
11543,0
13022,1
13724,1
11542,0
11688,1
11541,0
11401,0
13023,1
11539,0
12759,1
11536,0
11522,0
11498,0
11500,0
11501,0
11509,1
12758,1
11532,1
11533,1
11534,1
11579,1
11582,1
11624,1
11625,1
11433,0
11437,0
13477,0
12226,0
13317,1
12757,0
13476,0
11626,1
11691,0
12756,1
11693,0
11694,0
12760,0
12769,1
13066,1
11695,0
12762,1
13319,1
11698,0
12761,1
11710,0
13028,1
13678,0
11712,1
11714,0
12766,1
11715,0
13021,1
12336,1
12484,0
11476,0
12765,1
11552,0
11477,0
12764,1
11466,0
12763,1
11406,0
11527,1
11690,1
11481,0
11478,0
11391,0
11480,0
11524,0
11585,0
12771,1
11455,1
12773,1
11456,1
12792,1
11483,0
13020,0
11457,1
13337,1
13781,1
12776,0
12777,1
12797,1
12798,0
12799,1
11603,0
11482,0
11496,1
11499,0
11616,0
11502,0
12800,1
11503,0
13019,0
12801,0
12802,1
11525,0
11530,0
11558,0
11580,0
11627,0
13083,1
12946,0
11634,0
13316,1
12803,0
13097,0
12804,0
12805,0
11554,1
12806,1
11557,1
11559,0
11560,1
12807,0
11561,1
11563,0
11564,1
11565,1
12405,0
14313,1
11608,0
12868,0
11609,0
11610,0
13644,1
11611,0
12911,0
11360,1
10861,0
11612,1
11613,0
11614,0
11615,0
12271,0
12509,1
11617,1
12287,0
12351,0
13064,0
11619,1
12345,0
11670,1
12381,0
11671,1
12627,0
11672,0
11673,1
13052,0
11674,0
11676,0
11668,0
13685,1
13604,1
13562,0
12631,1
11980,0
12625,1
13100,1
12629,1
13519,1
13518,1
13098,1
12555,1
12341,0
11638,0
12447,1
13402,1
12672,0
13695,1
11594,0
11597,0
13770,1
12939,0
11636,0
14221,0
13605,1
13091,1
13093,1
12517,1
12520,0
12770,1
12519,0
12454,1
12508,0
11637,0
12511,0
12518,0
12460,0
12560,0
12635,0
12673,1
12651,0
12337,0
12943,0
12465,0
11639,0
11700,1
12476,0
11586,1
12290,0
12623,0
11635,0
12318,0
12974,1
12310,0
13082,1
12566,0
12565,1
13101,1
12473,0
12564,1
13501,1
14213,1
11669,0
12844,0
11677,0
12521,0
12554,0
11592,0
12849,0
11589,0
12696,0
11493,0
12429,0
11517,1
12845,0
13024,1
12846,0
11520,0
10560,0
11514,0
13073,0
12650,0
13297,0
11537,0
12985,0
11538,0
11601,0
11704,1
12602,1
11240,1
11821,0
11898,0
11822,0
12573,0
12474,0
12475,0
13816,0
11837,0
11834,0
11918,0
12468,0
12621,0
11835,0
11843,0
11844,0
11847,1
12636,0
12622,0
13755,0
12314,0
13797,0
11882,0
12568,0
11880,0
13025,0
11922,0
11893,0
11883,0
11885,0
11887,0
11888,0
12836,0
13032,1
12981,0
11951,1
11949,1
11953,0
12479,0
13296,0
12010,0
12746,0
12272,0
13001,1
10952,0
13049,1
11645,0
11644,1
13042,1
11900,0
11683,0
11689,0
11699,0
12976,0
12942,0
11243,1
13140,0
12941,0
11892,0
11950,1
11947,0
12938,0
12546,0
13694,0
12780,0
10888,0
10898,0
11352,1
11353,1
11354,1
11358,0
11359,1
11355,1
11356,1
11357,1
11399,0
12563,0
12567,0
12574,0
12620,0
13318,0
13793,0
13882,0
