Package,New Name of Package,Package Priority,Developer in Master List,PR Number,Link of PR Raised,PR Status,PR Creation Date,Upgrade Required,Final Upgrade Decision (Y/N),Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded,Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success,Bulk Build Number of SRPMs,Developer from under review sheet,Under Review PR Link,Reviewer,Review Status,PR Origin,TopicBranch,Additional Bulk Build Status
amtterm,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.6,10.azl3,1,1,amtterm-1.6-21.fc41.src.rpm,Default Initialized,Default Initialized,1.6,21.fc41,EXISTS_IN_EXT,1.6,Y,1,Jagadeesh,NA,NA,NA,NA,NA,Built
annobin,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Bld Ver,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,annobin-12.69-1.fc41.src.rpm,Default Initialized,Default Initialized,12.69,1.fc41,MOVED_TO_CORE,Not Found,N,0,Jagadeesh,NA,NA,NA,NA,NA,Not Found
ansible-freeipa,NA,CP_batch2,Jagadeesh,11028,https://github.com/microsoft/azurelinux/pull/11028,OPEN,2024-11-12T14:53:43Z,Y,Y,Built,0.3.4,2.azl3,1,1,ansible-freeipa-1.14.2-1.fc41.src.rpm,Default Initialized,Default Initialized,1.14.2,1.fc41,EXISTS_IN_EXT,0.3.4,N,0,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_ansible-freeipa,Failed
aopalliance,NA,P1,Jagadeesh,10671,https://github.com/microsoft/azurelinux/pull/10671,MERGED,2024-10-09T08:04:51Z,N,Y,Failed,1.0,4.azl3,1,1,aopalliance-1.0-40.fc41.src.rpm,Default Initialized,Default Initialized,1.0,40.fc41,EXISTS_IN_EXT,1.0,N,0,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10671,Falak,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_aopalliance,Built
apache-commons-beanutils,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.9.4,5.azl3,1,1,apache-commons-beanutils-1.9.4-21.fc41.src.rpm,Default Initialized,Default Initialized,1.9.4,21.fc41,EXISTS_IN_EXT,1.9.4,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
apache-commons-codec,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,1.15,2.azl3,1,1,apache-commons-codec-1.17.1-2.fc41.src.rpm,Default Initialized,Default Initialized,1.17.1,2.fc41,EXISTS_IN_EXT,1.15,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-collections,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,3.2.2,7.azl3,1,1,apache-commons-collections-3.2.2-37.fc41.src.rp,Default Initialized,Default Initialized,3.2.2,37.fc41.src.rp,EXISTS_IN_EXT,3.2.2,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
apache-commons-collections4,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,4.1,2.azl3,1,1,apache-commons-collections4-4.4-16.fc41.src.rpm,Default Initialized,Default Initialized,4.4,16.fc41,EXISTS_IN_EXT,4.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-compress,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,1.19,3.azl3,1,1,apache-commons-compress-1.25.0-7.fc41.src.rpm,Default Initialized,Default Initialized,1.25.0,7.fc41,EXISTS_IN_EXT,1.19,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-daemon,NA,CP_batch1,Jagadeesh,12654,https://github.com/microsoft/azurelinux/pull/12654,MERGED,2025-02-27T11:28:05Z,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,1.2.3,2.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.2.3,N,0,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_apache-commons-daemon,Built
apache-commons-dbcp,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.1.1,8.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.1.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
