Package,Package Priority,Developer in Master List,Link of PR Raised,Upgrade Required, Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded, Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success, Bulk Build Number of SRPMs, Developer from under review sheet, Under Review PR Link, Reviewer, Review Status
qr-code-generator,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11517,Y,Built,1.5.0,4.azl3,1,1,qr-code-generator-1.8.0-11.fc41.src.rpm,Default Initialized,Default Initialized,1.8.0,11.fc41,EXISTS_IN_EXT,1.5.0,Y,1,Akhila,https://github.com/microsoft/azurelinux/pull/11517,NA,NA
qt5-qtconnectivity,NA,NA,NA,Y,Failed,5.14.2,2.azl3,1,1,qt5-qtconnectivity-5.15.15-1.fc41.src.rpm,Default Initialized,Default Initialized,5.15.15,1.fc41,EXISTS_IN_EXT,5.14.2,N,0,nan,NOT_FOUND,NA,NA
qt5-qtsensors,NA,NA,NA,Y,Failed,5.14.2,2.azl3,1,1,qt5-qtsensors-5.15.15-1.fc41.src.rpm,Default Initialized,Default Initialized,5.15.15,1.fc41,EXISTS_IN_EXT,5.14.2,N,0,nan,NOT_FOUND,NA,NA
qt5-qtserialport,NA,NA,NA,Y,Failed,5.15.9,2.azl3,1,1,qt5-qtserialport-5.15.15-1.fc41.src.rpm,Default Initialized,Default Initialized,5.15.15,1.fc41,EXISTS_IN_EXT,5.15.9,N,0,nan,NOT_FOUND,NA,NA
quagga,NA,NA,NA,Revisit No Dnld Ver,Built,1.2.4,15.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.2.4,N,0,nan,NOT_FOUND,NA,NA
raptor2,NA,NA,NA,N,Failed,2.0.15,28.azl3,1,1,raptor2-2.0.15-44.fc41.src.rpm,Default Initialized,Default Initialized,2.0.15,44.fc41,EXISTS_IN_EXT,2.0.15,Y,1,nan,NOT_FOUND,NA,NA
rarian,New P0,Archana,NA,Y,Built,0.8.1,25.azl3,1,1,rarian-0.8.6-1.fc41.src.rpm,Default Initialized,Default Initialized,0.8.6,1.fc41,EXISTS_IN_EXT,0.8.1,Y,1,nan,NOT_FOUND,NA,NA
rasdaemon,NA,NA,NA,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,rasdaemon-0.8.0-5.fc41.src.rpm,Default Initialized,Default Initialized,0.8.0,5.fc41,MOVED_TO_CORE,Not Found,N,0,nan,NOT_FOUND,NA,NA
rasqal,NA,NA,NA,N,Failed,0.9.33,13.azl3,1,1,rasqal-0.9.33-29.fc41.src.rpm,Default Initialized,Default Initialized,0.9.33,29.fc41,EXISTS_IN_EXT,0.9.33,Y,1,nan,NOT_FOUND,NA,NA
rcs,NA,NA,NA,N,Built,5.10.1,4.azl3,1,1,rcs-5.10.1-9.fc41.src.rpm,Default Initialized,Default Initialized,5.10.1,9.fc41,EXISTS_IN_EXT,5.10.1,N,0,nan,NOT_FOUND,NA,NA
