S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link,
98,perl-Net-DNS-Resolver-Programmable,N,,,Jyoti,,,,,,N,,,,,,,,,,
99,perl-Net-LibIDN2,Y,1.02,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11391,10-12-2024,10-12-2024,,Y,08-10-2024,1.02,1.02,1.02,https://kojipkgs.fedoraproject.org//packages/perl-Net-LibIDN2/1.02/8.fc41/src/perl-Net-LibIDN2-1.02-8.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11391,
100,opus,Y,1.5.2,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11516,,,,Y,10-23-2024,1.3.1,1.3.1,1.5.2,https://kojipkgs.fedoraproject.org//packages/opus/1.5.2/1.fc41/src/opus-1.5.2-1.fc41.src.rpm,,,,,
101,orc,Y,0.4.39,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11485,,,,Y,10-23-2025,0.4.31,0.4.32,0.4.39,https://kojipkgs.fedoraproject.org//packages/orc/0.4.39/1.fc41/src/orc-0.4.39-1.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11485,
102,os-prober,Y,1.81,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11494,,,,Y,10-23-2026,1.77,1.77,1.81,https://kojipkgs.fedoraproject.org//packages/os-prober/1.81/8.fc41/src/os-prober-1.81-8.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11494,
103,osinfo-db,Y,20240701,P0,Jyoti,PR Review,https://github.com/microsoft/azurelinux/pull/11495,,,,Y,10-23-2027,20221130,20221130,20240701,https://kojipkgs.fedoraproject.org//packages/osinfo-db/20240701/2.fc41/src/osinfo-db-20240701-2.fc41.src.rpm,,,,,
104,osinfo-db-tools,Y,1.11.0,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11513,,,,Y,10-23-2028,1.10.0,1.10.0,1.11.0,https://kojipkgs.fedoraproject.org//packages/osinfo-db-tools/1.11.0/7.fc41/src/osinfo-db-tools-1.11.0-7.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11513,
105,paps,Y,0.8.0,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11518,,,,Y,10-23-2029,0.6.8,0.6.8,0.8.0,https://kojipkgs.fedoraproject.org//packages/paps/0.8.0/11.fc41/src/paps-0.8.0-11.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11518,
106,parallel,Y,20240922,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11519,,,,Y,10-23-2030,20190922,20190922,20240922,https://kojipkgs.fedoraproject.org//packages/parallel/20240922/2.fc41/src/parallel-20240922-2.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11519,
107,perl-Algorithm-Diff,Y,1.201,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11521,,,,Y,10-23-2031,1.1903,1.1903,1.2010,https://kojipkgs.fedoraproject.org//packages/perl-Algorithm-Diff/1.2010/12.fc41/src/perl-Algorithm-Diff-1.2010-12.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11521,
108,perl-Archive-Extract,Y,0.88,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11598,,,,Y,10-23-2032,0.86,0.86,0.88,https://kojipkgs.fedoraproject.org//packages/perl-Archive-Extract/0.88/12.fc41/src/perl-Archive-Extract-0.88-12.fc41.src.rpm,,,,,
109,perl-B-Hooks-EndOfScope,Y,0.28,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11595,,,,Y,10-23-2033,0.24,0.24,0.28,https://kojipkgs.fedoraproject.org//packages/perl-B-Hooks-EndOfScope/0.28/2.fc41/src/perl-B-Hooks-EndOfScope-0.28-2.fc41.src.rpm,,,,,
110,perl-B-Keywords,Y,1.27,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11593,,,,Y,10-23-2034,1.21,1.21,1.27,https://kojipkgs.fedoraproject.org//packages/perl-B-Keywords/1.27/2.fc41/src/perl-B-Keywords-1.27-2.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11593,
111,perl-Class-C3-XS,Y,0.15,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11591,,,,Y,10-23-2035,0.14,0.14,0.15,https://kojipkgs.fedoraproject.org//packages/perl-Class-C3-XS/0.15/16.fc41/src/perl-Class-C3-XS-0.15-16.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11591,
112,perl-Class-Data-Inheritable,Y,0.09,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11708,,,,Y,10-23-2036,0.08,0.08,0.09,https://kojipkgs.fedoraproject.org//packages/perl-Class-Data-Inheritable/0.09/9.fc41/src/perl-Class-Data-Inheritable-0.09-9.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/10618,
113,perl-Class-Method-Modifiers,Y,2.15,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11547,,,,Y,10-23-2037,2.13,2.13,2.15,https://kojipkgs.fedoraproject.org//packages/perl-Class-Method-Modifiers/2.15/5.fc41/src/perl-Class-Method-Modifiers-2.15-5.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11547,
114,perl-Class-Singleton,Y,1.6,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11546,,,,Y,10-23-2038,1.5,1.5,1.6,https://kojipkgs.fedoraproject.org//packages/perl-Class-Singleton/1.6/12.fc41/src/perl-Class-Singleton-1.6-12.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/10618,
115,perl-Config-IniFiles,Y,3.000003,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11544,,,,Y,10-23-2039,3.000002,3.000002,3.000003,https://kojipkgs.fedoraproject.org//packages/perl-Config-IniFiles/3.000003/14.fc41/src/perl-Config-IniFiles-3.000003-14.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11544,
116,perl-Convert-ASN1,Y,0.34,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11543,,,,Y,10-23-2040,0.27,0.27,0.34,https://kojipkgs.fedoraproject.org//packages/perl-Convert-ASN1/0.34/4.fc41/src/perl-Convert-ASN1-0.34-4.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11543,
117,perl-Crypt-OpenSSL-Guess,Y,0.15,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11542,,,,Y,10-23-2041,0.11,0.11,0.15,https://kojipkgs.fedoraproject.org//packages/perl-Crypt-OpenSSL-Guess/0.15/8.fc41/src/perl-Crypt-OpenSSL-Guess-0.15-8.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11542,
118,perl-Crypt-OpenSSL-Random,Y,0.17,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11541,,,,Y,10-23-2042,0.15,0.15,0.17,https://kojipkgs.fedoraproject.org//packages/perl-Crypt-OpenSSL-Random/0.17/2.fc41/src/perl-Crypt-OpenSSL-Random-0.17-2.fc41.src.rpm,,,,,
119,perl-Data-Peek,Y,0.52,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11539,,,,Y,10-23-2043,0.49,0.49,0.52,https://kojipkgs.fedoraproject.org//packages/perl-Data-Peek/0.52/8.fc41/src/perl-Data-Peek-0.52-8.fc41.src.rpm,,,,,
120,perl-Data-UUID,Y,1.227,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11536,,,,Y,10-23-2044,1.224,1.224,1.227,https://kojipkgs.fedoraproject.org//packages/perl-Data-UUID/1.227/3.fc41/src/perl-Data-UUID-1.227-3.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11536,
121,perl-Date-Manip,Y,6.95,P0,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11522,,,,Y,10-23-2045,6.82,6.82,6.95,https://kojipkgs.fedoraproject.org//packages/perl-Date-Manip/6.95/2.fc41/src/perl-Date-Manip-6.95-2.fc41.src.rpm,,,,,
122,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,
