S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
38,ghc-srpm-macros,Y,1.9.2,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/10788,2024-10-15 0:00:00,2024-10-22 0:00:00,2024-10-22 0:00:00,Y,2024-10-06 0:00:00,1.5.0,1.5.0,1.9.2,https://src.fedoraproject.org/rpms/ghc-srpm-macros https://src.fedoraproject.org/rpms/ghc-srpm-macros,1.9.2,14,"[15-10-2024]: URL from src.fedoaproject and upstream are same.
[27-12-2024] : pkg dont have entry cgmanifest.json And License file not available. However package built successfully.",https://github.com/microsoft/azurelinux/pull/10788
39,gl-manpages,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,,,N,2024-10-06 0:00:00,1.1,1.1,1.1,"https://src.fedoraproject.org/rpms/gl-manpages
https://github.com/KhronosGroup/OpenGL-Refpages",,,,
40,glassfish-annotation-api,N,ReVisit,,Jagadeesh,Re-Visit,,2024-10-15 0:00:00,,,N,2024-10-06 0:00:00,1.3.2,1.3.2,Not found,No,1.3.2,"https://github.com/javaee/javax.annotation/
https://github.com/javaee/javax.annotation/tags",[17-Oct-2025}: 1.3.2 version is the last updated package version on 21-Feb-2018,
41,glew,Y,2.2.0,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/10871,2024-10-15 0:00:00,2024-10-29 0:00:00,2024-10-28 0:00:00,Y,2024-10-06 0:00:00,2.1.0,2.1.0,2.2.0,https://src.fedoraproject.org/rpms/glew,2.2.0,"http://glew.sourceforge.net
https://sourceforge.net/projects/glew/files/glew/","Updated to latest version 2.2.0
[30-Dec-2024]: License file did not mentioned clearly about license(MIT and BSD)  in LICENSE file.
The PR is a leaf PR which builds alone successfully.",https://github.com/microsoft/azurelinux/pull/10871
42,glm,Y,1.0.1,,Jagadeesh,PR in Review,https://github.com/microsoft/azurelinux/pull/11755,2024-10-15 0:00:00,2024-10-25 0:00:00,2024-10-24 0:00:00,Y,2024-10-06 0:00:00,0.9.9.6,0.9.9.6,1.0.1,https://src.fedoraproject.org/rpms/glm,1.0.2,"http://glm.g-truc.net/
https://github.com/g-truc/glm/releases/
https://github.com/g-truc/glm/releases/download/%{version}/%{name}-%{version}.zip","[31-Dec-2024]:  The PR is a leaf PR which builds alone successfully.
[3-Dec-2024]: review by Bala.",https://github.com/microsoft/azurelinux/pull/11755
43,gnome-desktop-testing,Y,2021.1,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,,,N,2024-10-06 0:00:00,2018.1,2018.1,2018.1,https://src.fedoraproject.org/rpms/gnome-desktop-testing,2021.1,"https://gitlab.gnome.org/GNOME/gnome-desktop-testing/-/tree/v2021.1?ref_type=tags
https://live.gnome.org/Initiatives/GnomeGoals/InstalledTests
https://gitlab.gnome.org/GNOME/gnome-desktop-testing",,
44,gnome-doc-utils,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,,,Y,2024-10-06 0:00:00,0.20.10,0.20.10,0.20.10,"https://src.fedoraproject.org/rpms/gnome-doc-utils
https://download.gnome.org/sources/gnome-doc-utils/0.20/gnome-doc-utils-0.20.9.tar.xz
https://koji.fedoraproject.org/koji/buildinfo?buildID=2492505",0.9.2,"https://download.gnome.org/sources/gnome-doc-utils/0.20/
https://download.gnome.org/sources/gnome-doc-utils/0.9/
https://download.gnome.org/sources/gnome-doc-utils/0.9/gnome-doc-utils-0.9.2.tar.gz","[15-10-2024]: I have doubt about choosing upstream of this package due to large varitions available in upstream.
one is V0.20.9 and another one is V0.9.2.",
45,gnome-icon-theme,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-15 0:00:00,2024-10-15 0:00:00,Y,2024-10-06 0:00:00,3.12.0,3.12.0,3.12.0,https://src.fedoraproject.org/rpms/gnome-icon-theme,3.12.0,https://download.gnome.org/sources/gnome-icon-theme/,[14-Oct-2024]: Analysis completed,
46,gnome-keyring,Y,46.2,,Jagadeesh,Ongoing,,2024-10-15 0:00:00,,,N,2024-10-06 0:00:00,3.36,3.36,46.2,https://src.fedoraproject.org/rpms/gnome-keyring,46.2,"https://download.gnome.org/sources/gnome-keyring/
https://download.gnome.org/sources/gnome-keyring/46/gnome-keyring-46.2.tar.xz",,
47,gnu-getopt,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-15 0:00:00,2024-10-15 0:00:00,Y,2024-10-06 0:00:00,1.0.14,1.0.14,1.0.14,"https://src.fedoraproject.org/rpms/gnu-getopt
Locating to upstream
https://www.urbanophile.com/arenn/hacking/download.html",1.0.14,"https://www.urbanophile.com/arenn/hacking/getopt/
https://www.urbanophile.com/arenn/hacking/getopt/java-getopt-1.0.14.tar.gz",[14-Oct-2024]: Analysis completed,
