Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)"
geronimo-specs,Jagadeesh,,N,N,Y,Y,N,N,,P1
ghc-srpm-macros,Jagadeesh,,N,N,Y,Y,N,N,,P1
gl-manpages,Jagadeesh,,N,N,Y,Y,N,N,,P1
glassfish-annotation-api,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
glew,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
glm,Jagadeesh,,N,N,Y,Y,N,N,,P1
gnome-desktop-testing,Jagadeesh,,N,N,Y,Y,N,N,,P1
gnome-doc-utils,Jagadeesh,,N,N,Y,Y,N,N,,P1
gnome-icon-theme,Jagadeesh,,N,N,Y,Y,N,N,,P1
gnome-keyring,Jagadeesh,,N,N,Y,Y,N,N,,P1
gnu-getopt,Jagadeesh,,N,N,Y,Y,N,N,,P1
gnu-regexp,Jagadeesh,,N,N,Y,Y,N,N,,P1
go-rpm-macros,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
gom,Jagadeesh,,N,N,Y,Y,N,N,,P1
google-api-python-client,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
google-crosextra-caladea-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1
google-crosextra-carlito-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1
google-noto-cjk-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1
google-noto-emoji-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1
gphoto2,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Oct 2021,P1
gpm,Kevin,,N,N,Y,Y,N,N,,P1
gpsbabel,Kevin,,N,N,Y,Y,N,N,,P1
graphene,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Mar 2022,P1
graphite2,Kevin,,N,N,Y,Y,N,N,,P1
gsl,Kevin,,N,N,Y,Y,N,N,,P1
gspell,Kevin,,N,N,Y,Y,N,N,,P1
gssdp,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Jan 2023,P1
gssntlmssp,Kevin,,N,N,Y,Y,N,N,,P1
gstreamer1,Kevin,,N,N,Y,Y,N,N,,P1
gstreamer1-plugins-base,Kevin,,N,N,Y,Y,N,N,,P1
gtk-vnc,Kevin,Y,Y,Y,Y,Y,N,N,Last imported in Mar 2023,P1
gtkspell,Kevin,,N,N,Y,Y,N,N,,P1
guava20,Kevin,To be removed,Y,Y,Y,Y,N,N,Remove guava20.  Note that guava is available in core (SPECS) at version 33.0.0-1.,CP_batch1
gupnp,Kevin,Y,Y,Y,Y,Y,N,N,Last imported in Feb 2023,P1
gupnp-av,Kevin,,N,N,Y,Y,N,N,,P1
gupnp-dlna,Kevin,,N,N,Y,Y,N,N,,P1
gupnp-igd,Kevin,,N,N,Y,Y,N,N,,P1
hawtjni-runtime,Kevin,Y,Y,Y,Y,Y,N,N,Last work Oct 2021,P1
hdf,Kevin,,N,N,Y,Y,N,N,,CP_batch1
highlight,Kevin,,N,N,Y,Y,N,N,,P1
hping3,Kevin,,N,N,Y,Y,N,N,,P1
hsakmt,Kevin,,N,N,Y,Y,N,N,,P1
httpcomponents-core,Kevin,,N,N,Y,Y,N,N,,P1
hunspell-af,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ar,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-as,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ast,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-az,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-be,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-bg,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-bn,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-br,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ca,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-cop,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-csb,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-cv,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-cy,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-da,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-de,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-dsb,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-el,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-eo,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-es,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-et,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-eu,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-fa,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-fj,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-fo,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-fr,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-fur,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-fy,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ga,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-gd,Neeraj,,N,N,Y,Y,N,N,,P1
