Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev,Newer ACTION,Newer UPGRADE,Newer BUILD_CHECK_REQD,PR Created Despite a No in Newer Upgrade decision
hyphen-fa,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-fo,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-fr,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ga,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-gl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-grc,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-gu,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-hi,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-hsb,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-hu,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ia,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-id,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-is,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-it,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hyphen-kn,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ku,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-lt,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-mi,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ml,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-mn,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-mr,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-nl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-or,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-pa,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-pl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-pt,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hyphen-ro,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ru,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hyphen-sa,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-sk,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-sl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-sv,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ta,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-te,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-tk,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hyphen-uk,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
ibus,Sumit,,Y,Y,Y,Y,N,N,It was decided that the latest upstream version 1.5.31-beta2 as seen in Fedora sources will be what we upgrade to.,P1,NA,N,Y,Y,Y,N
ibus-chewing,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,DECIDED_REMOVE,Y,N
ibus-hangul,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ibus-kkc,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
ibus-libzhuyin,Sumit,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
ibus-m17n,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ibus-rawcode,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
ibus-sayura,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
ibus-table,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ibus-table-chinese,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
icc-profiles-openicc,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
icon-naming-utils,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
iftop,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
iio-sensor-proxy,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ilmbase,Sumit,,Y,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
imaptest,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
indent,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
iniparser,Sumit,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
intel-cmt-cat,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
ioping,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ipa-pgothic-fonts,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
ipcalc,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
iprutils,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
iptstate,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
irssi,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
iso-codes,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
isomd5sum,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
iwd,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
jabberpy,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
jakarta-taglibs-standard,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
jansi,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
jarjar,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
javacc,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
javacc-bootstrap,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
jbigkit,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,Y
jboss-interceptors,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y_Reintroduce,Y,Y,N
jdepend,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
jdom2,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,PRCreated_Rev_VerComp,Y,Y,N
jfsutils,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
jimtcl,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
jlex,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,PR_Created_NODNLDVER,Y,Y,N
jline,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
jose,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
js-jquery,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
jsch,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,Y
jsoncpp,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
jsoup,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
jtidy,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
junitperf,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,PR_Created_NODNLDVER,Y,Y,N
jzlib,Archana,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
kde-filesystem,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
kernel-rt,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
keybinder3,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
keycloak-httpd-client-install,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
kronosnet,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
kyotocabinet,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ladspa,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lame,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
langtable,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lasso,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
latencytop,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
lcov,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ledmon,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
lensfun,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
lftp,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libEMF,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libIDL,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libXScrnSaver,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
libXres,Aninda,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
libXv,Aninda,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
libabw,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libao,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libappstream-glib,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libart_lgpl,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libasyncns,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libavc1394,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libblockdev,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libbsd,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libbytesize,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libcanberra,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libcdio,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libcdio-paranoia,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,PRCreated_Rev_VerComp,Y,Y,N
libcdr,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libchewing,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libcli,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libcmis,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libcmpiutil,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libcroco,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libdap,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdatrie,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdazzle,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdbi,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libdbi-drivers,Jyoti,,N,N,N,N,Y,N,,P1,NA,N,Y_Reintroduce,Y,Y,N
libdbusmenu,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libdc1394,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdeflate,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdmx,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdvdnav,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libdvdread,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libeasyfc,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
libecap,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,Y
libecb,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libeot,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libepubgen,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libesmtp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libetonyek,Aninda,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_CorePkgVerDep,N_CorePkgVerDep,Y,Y
libexttextcat,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libfreehand,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libftdi,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
libgadu,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libgdither,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libgee,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libgee06,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libgeotiff,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libgexiv2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libgit2-glib,Aninda,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_CorePkgVerDep,N_CorePkgVerDep,Y,N
libglade2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libgovirt,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libgphoto2,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
libgsf,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libgta,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libgxps,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libhangul,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libibcommon,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libicns,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libid3tag,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libidn2,Kevin,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
libiec61883,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libieee1284,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libimobiledevice,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libindicator,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libiodbc,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libipt,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
libiptcdata,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libjcat,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libkeepalive,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libkkc,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libkkc-data,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libkml,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
liblangtag,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libldb,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
liblerc,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
liblockfile,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
liblouis,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
liblqr-1,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,PR_Created_NODNLDVER,Y,Y,N
libmad,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libmediaart,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libmicrohttpd,Kevin,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
libmikmod,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libmodman,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libmodplug,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libmodulemd1,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libmpcdec,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libmspub,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libmtp,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
libmusicbrainz5,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libmwaw,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libnet,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libntlm,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libnumbertext,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
liboauth,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libodfgen,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libofa,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libogg,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
liboggz,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
liboil,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libomxil-bellagio,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libopenraw,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
liboping,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libosinfo,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libotf,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libotr,Sumit,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libpagemaker,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libpaper,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
libpeas,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libpfm,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
libpinyin,Sumit,,Y,Y,Y,Y,N,N,It was decided that the prelease version 2.9.92 available in Fedora sources will prevail over the last stable version 2.8.1,P1,NA,N,Y,Y,Y,N
libplist,Kevin,Y,N,N,Y,Y,N,N,"Instead of Sumit, Kevin picked it up first.",CP_batch1,NA,N,Y,Y,Y,N
libpmemobj-cpp,Sumit,,Y,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libpng12,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libpng15,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libproxy,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libqb,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libqxp,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
librabbitmq,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libraqm,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libraw1394,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libreport,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
librevenge,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
librx,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
libsamplerate,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libsass,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libsecret,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libsigc++20,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
libsigsegv,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libsmbios,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libspiro,Sumit,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libsrtp,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libstaroffice,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libstemmer,Sumit,,Y,N,Y,Y,N,N,,CP_batch2,snowball,N,Decide_Rev_VerComp,Y_DECIDED_REPLACE,Y,N
libtdb,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libteam,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libtevent,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
libthai,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libtheora,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libtnc,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
libtomcrypt,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libtommath,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libtranslit,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libucil,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libunicap,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_DNLD_fail_Chk_Build,N,Y,Y
libuninameslist,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libusbmuxd,Kevin,Y,N,N,Y,Y,N,N,Kevin has picked up the upgrade of this package as on 30 Oct 2024.,P1,NA,N,PRCreated_Rev_VerComp,Y,Y,N
libuser,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
libutempter,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libva,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
libvarlink,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libvdpau,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libverto,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libvisio,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libvisual,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libvorbis,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libvpx,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libwnck3,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libwpd,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libwpe,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,PR_Created_NODNLDVER,Y,Y,N
libwpg,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libwps,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libwvstreams,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libxklavier,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libxmlb,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
libyami,Archana,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
libyubikey,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
libzmf,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
lilv,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
linuxconsoletools,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
lksctp-tools,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
lockdev,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
logwatch,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lpsolve,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,DECIDED_REMOVE,DECIDED_REMOVE,N,N
lrzsz,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
