Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev,Newer ACTION,Newer UPGRADE,Newer BUILD_CHECK_REQD,PR Created Despite a No in Newer Upgrade decision
perl-YAML-LibYAML,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-YAML-PP,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
perl-YAML-Syck,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-bareword-filehandles,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-boolean,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-gettext,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-inc-latest,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-indirect,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-libnet,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-libxml-perl,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-multidimensional,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-namespace-autoclean,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-namespace-clean,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-prefork,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-strictures,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perltidy,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
pesign,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
phodav,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
physfs,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
pinfo,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
pipewire,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
pkcs11-helper,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
plexus-pom,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,PRCreated_Rev_VerComp,Y,Y,N
plotutils,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
pmdk-convert,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
pngcrush,Sumit,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
pngnq,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
po4a,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
podman,Sumit,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_CorePkgVerDep,N_CorePkgVerDep,Y,Y
poetry,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
polkit-pkla-compat,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
portreserve,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
potrace,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
powertop,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ppp,Jyoti,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
pps-tools,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
pptp,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
procmail,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
proj,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
ps_mem,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
psacct,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
psl-make-dafsa,Akhila,,N,N,Y,Y,N,N,,NA,libpsl,N,Y,Y,Y,N
psutils,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
ptlib,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
publicsuffix,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
publicsuffix-list,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
pulseaudio,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
puppet,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
pyatspi,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
pybind11,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
pyflakes,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
pykickstart,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
pylint,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
pyparted,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
pyserial,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-CommonMark,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-IPy,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-PyMySQL,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-aiodns,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
