S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
50,libpng12,N,NA,,Sumit,NA-Uptodate,,2024-11-11 0:00:00,2024-11-11 0:00:00,2024-11-11 0:00:00,Y,2024-10-24 0:00:00,1.2.57,1.2.57,1.2.57,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496933,1.2.59,http://www.libpng.org/pub/png/,,
51,libpng15,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,1.5.30,1.5.30,1.5.30,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496947,1.5.30,http://www.libpng.org/pub/png/,No Upgrade needed,
52,libproxy,Y,0.5.8,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11241,2024-11-26 0:00:00,2024-11-26 0:00:00,2024-11-27 0:00:00,Y,2024-10-24 0:00:00,0.4.17,0.4.17,0.5.8,https://koji.fedoraproject.org/koji/buildinfo?buildID=2517392,0.5.9,https://libproxy.github.io/libproxy/,,https://github.com/microsoft/azurelinux/pull/11241
53,libqb,Y,2.0.8,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11017,2024-11-12 0:00:00,2024-11-12 0:00:00,2024-11-12 0:00:00,Y,2024-10-24 0:00:00,1.0.5,1.0.5,2.0.8,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496931,2.0.8,https://github.com/ClusterLabs/libqb,,https://github.com/microsoft/azurelinux/pull/11017
54,libqxp,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,0.0.2,0.0.2,0.0.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496954,0.0.2,https://wiki.documentfoundation.org/DLP/Libraries/libqxp,No Upgrade needed,
55,librabbitmq,Y,0.14.0,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11018,2024-11-12 0:00:00,2024-11-12 0:00:00,2024-11-12 0:00:00,Y,2024-10-24 0:00:00,0.10.0,0.10.0,0.14.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496959,0.14.0,https://github.com/alanxz/rabbitmq-c,,https://github.com/microsoft/azurelinux/pull/11018
56,libraqm,Y,0.8.0,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11021,2024-11-12 0:00:00,2024-11-12 0:00:00,2024-11-12 0:00:00,Y,2024-10-24 0:00:00,0.7.0,0.7.0,0.8.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496958,0.10.2,https://github.com/HOST-Oman/libraqm,,https://github.com/microsoft/azurelinux/pull/11021
57,libraw1394,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,2.1.2,2.1.2,2.1.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496964,2.1.2,http://www.kernel.org/pub/linux/libs/ieee1394/,The upstream is unavailable so the latest version is taken from the available source URL.,
58,libreport,Y,2.17.15,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11242,2024-11-26 0:00:00,2024-11-26 0:00:00,2024-11-27 0:00:00,Y,2024-10-24 0:00:00,2.13.1,2.13.1,2.17.15,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496978,2.17.15,https://abrt.readthedocs.io/en/latest/,,
59,librevenge,Y,0.0.5,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11022,2024-11-12 0:00:00,2024-11-12 0:00:00,2024-11-12 0:00:00,Y,2024-10-24 0:00:00,0.0.4,0.0.4,0.0.5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497001,0.0.5,https://sourceforge.net/p/libwpd/wiki/librevenge/,,https://github.com/microsoft/azurelinux/pull/11022
60,librx,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,1.5,1.5,1.5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497018,1.5,https://www.gnu.org/software/rx/rx.html,The FSF no longer offers this code. No Upgrade needed.,
61,libsamplerate,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,0.2.2,0.2.2,0.2.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497017,0.2.2,https://libsndfile.github.io/libsamplerate/,Upstream Doesn't have the updated version on the page. The version is taken from the releases over their Github. No Upgrade needed,
62,libsass,Y,3.6.6,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11023,2024-11-12 0:00:00,2024-11-12 0:00:00,2024-11-12 0:00:00,Y,2024-10-24 0:00:00,3.6.3,3.6.3,3.6.6,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497016,3.6.6,https://sass-lang.com/libsass/,The project has been depreciated and recomends to use DartSass instead.,https://github.com/microsoft/azurelinux/pull/11023
63,libsecret,Y,0.21.4,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11226,2024-11-26 0:00:00,2024-11-26 0:00:00,2024-11-26 0:00:00,Y,2024-10-24 0:00:00,0.20.4,0.20.4,0.21.4,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497020,0.21.4,https://wiki.gnome.org/Projects/Libsecret,,https://github.com/microsoft/azurelinux/pull/11226
64,libsigc++20,Y,2.12.1,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11046,2024-11-12 0:00:00,2024-11-12 0:00:00,2024-11-13 0:00:00,Y,2024-10-24 0:00:00,2.10.3,2.10.3,2.12.1,-,2.12.1,https://github.com/libsigcplusplus/libsigcplusplus,No active build from fedora available,https://github.com/microsoft/azurelinux/pull/11046
65,libsigsegv,Y,2.14,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11056,2024-11-13 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-10-24 0:00:00,2.11,2.11,2.14,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497044,2.14,https://www.gnu.org/software/libsigsegv/,,https://github.com/microsoft/azurelinux/pull/11056
66,libsmbios,Y,2.4.3,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11057,2024-11-13 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-10-24 0:00:00,2.4.2,2.4.2,2.4.3,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497054,2.4.3,https://github.com/dell/libsmbios,,https://github.com/microsoft/azurelinux/pull/11057
67,libspiro,Y,20240903,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11058,2024-11-13 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-10-24 0:00:00,20221101,20221101,20240903,https://koji.fedoraproject.org/koji/buildinfo?buildID=2546453,20240903,https://github.com/fontforge/libspiro/,,https://github.com/microsoft/azurelinux/pull/11058
68,libsrtp,Y,2.6.0,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11061,2024-11-13 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-10-24 0:00:00,2.3.0,2.3.0,2.6.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2522436,2.6.0,https://github.com/cisco/libsrtp,,https://github.com/microsoft/azurelinux/pull/11061
69,libstaroffice,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,0.0.7,0.0.7,0.0.7,https://koji.fedoraproject.org/koji/buildinfo?buildID=2497074,0.0.7,https://github.com/fosnola/libstaroffice/wiki,No Upgrade needed,
70,libstemmer,N,NA,,Sumit,NA-Uptodate,,,,2024-10-24 0:00:00,Y,2024-10-24 0:00:00,0,0,0,-,0,http://snowball.tartarus.org/,"Package has been replaced by snowball in fedora.
We have seen that snowball provides the same libraries -  libstemmer.so.* and libstemmer.so, as libstemmer package.  But snowball provides more sub-packages.

Should we therefore remove libstemmer and add snowball?",
71,libtdb,Y,1.4.12,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11062,2024-11-13 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-10-24 0:00:00,1.4.3,1.4.8,1.4.12,https://koji.fedoraproject.org/koji/buildinfo?buildID=2551652,1.4.12,https://tdb.samba.org/,,https://github.com/microsoft/azurelinux/pull/11062
72,pyatspi,Y,2.46.1,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10861,2024-10-25 0:00:00,2024-10-28 0:00:00,2024-10-28 0:00:00,Y,2024-10-24 0:00:00,2.36.0,2.36.0,2.46.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2503591,2.46.1,http://www.linuxfoundation.org/en/AT-SPI_on_D-Bus,,https://github.com/microsoft/azurelinux/pull/10861
73,clucene,N,NA,,Sumit,NA-Uptodate-FixBuild,https://github.com/microsoft/azurelinux/pull/10858,2024-10-25 0:00:00,2024-10-28 0:00:00,2024-10-28 0:00:00,N,2024-10-24 0:00:00,2.3.3.4,2.3.3.4,2.3.3.4,https://koji.fedoraproject.org/koji/buildinfo?buildID=2489763,2.3.3.4,http://www.sourceforge.net/projects/clucene,,https://github.com/microsoft/azurelinux/pull/10858
74,DartSass,,,,,,,,,,,,,,,,,,"Should we add this too, since Libsass advice is to start using DartSass for newer applications.  Note that Libsass has been deprecated and libsass != DartSass.",
75,satyr,Y,0.43,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11240,2024-11-26 0:00:00,2024-11-26 0:00:00,2024-11-27 0:00:00,N,2024-10-24 0:00:00,0.3,0.3,0.43,https://koji.fedoraproject.org/koji/buildinfo?buildID=2511038,0.43,https://github.com/abrt/satyr,,https://github.com/microsoft/azurelinux/pull/11240
76,xmlrpc-c,Y,1.59.03,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11243,2024-11-26 0:00:00,2024-11-26 0:00:00,2024-11-27 0:00:00,Y,2024-10-24 0:00:00,1.54.06,1.54.06,1.59.03,https://koji.fedoraproject.org/koji/buildinfo?buildID=2512915,1.59.04,https://xmlrpc-c.sourceforge.io/,,https://github.com/microsoft/azurelinux/pull/11243
77,puppet,Y,8.6.0,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11360,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,Y,2024-10-24 0:00:00,7.12.1,7.12.1,8.6.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2503604,8.10.0,https://www.puppet.com/downloads/puppet-enterprise,,
78,rubygem-puppet-resource_api,Y,1.8.18,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11352,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,Y,2024-10-24 0:00:00,-,1.8.14,1.8.18,https://koji.fedoraproject.org/koji/buildinfo?buildID=2507559,1.9.0,https://github.com/puppetlabs/puppet-resource_api,,
79,rubygem-hocon,Y,1.4.0,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11353,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,Y,2024-10-24 0:00:00,,,1.4.0,,,,,https://github.com/microsoft/azurelinux/pull/11353
80,rubygem-deep_merge,Y,1.2.2,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11354,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,Y,2024-10-24 0:00:00,,,1.2.2,,,,,https://github.com/microsoft/azurelinux/pull/11354
81,hiera,Y,3.12.0,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11358,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,Y,2024-10-24 0:00:00,,,3.12.0,,,,,https://github.com/microsoft/azurelinux/pull/11358
82,libselinux,Y,3.7,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11359,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,Y,2024-10-24 0:00:00,,,3.7,,,,,https://github.com/microsoft/azurelinux/pull/11359
83,rubygem-racc,-,,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11355,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,-,,,,,,,,,
