Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
ocaml-extlib,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-fpath,,,N,N,Y,Y,N,N,,,NA
ocaml-libvirt,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-markup,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-parsexp,Aninda,,N,N,Y,N,N,Y,,P1,NA
ocaml-sexplib,Aninda,,N,N,Y,N,N,Y,,P1,NA
ocaml-tyxml,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-xml-light,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-zarith,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocl-icd,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
oddjob,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ogdi,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
omping,,,N,N,Y,Y,N,N,,,NA
opal,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
opencc,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
opencl-filesystem,,,N,N,Y,Y,N,N,,,NA
opencl-headers,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
opencryptoki,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
opendnssec,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
openjpeg2,,,N,N,Y,Y,N,N,,,openjpeg
openobex,,,N,N,Y,Y,N,N,,,NA
openoffice-lv,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
openrdate,,,N,N,Y,Y,N,N,,,NA
openslp,,,N,N,Y,Y,N,N,,,NA
openssl-ibmpkcs11,,,N,N,Y,Y,N,N,,,NA
openwsman,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
optipng,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
opus,Jyoti,,N,N,Y,Y,N,N,,P0,NA
opusfile,,,N,N,Y,Y,N,N,,,NA
orc,Jyoti,,N,N,Y,Y,N,N,,P0,NA
oro,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
os-prober,Jyoti,,N,N,Y,Y,N,N,,P0,NA
osgi-annotation,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
osgi-compendium,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
osgi-core,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
osinfo-db,Jyoti,,N,N,Y,Y,N,N,,P0,NA
osinfo-db-tools,Jyoti,,N,N,Y,Y,N,N,,P0,NA
overpass-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
pacemaker,Jyoti,,N,N,Y,Y,N,N,,P1,NA
pacrunner,,,N,N,Y,Y,N,N,,,NA
pakchois,,,N,N,Y,Y,N,N,,,NA
papi,Jyoti,,N,N,Y,Y,N,N,,P1,NA
paps,Jyoti,,N,N,Y,Y,N,N,,P0,NA
parallel,Jyoti,,N,N,Y,Y,N,N,,P0,NA
pbzip2,,,N,N,Y,Y,N,N,,,NA
pcp,Sandeep,,N,N,Y,Y,N,N,,P1,NA
perl-Algorithm-C3,Jyoti,,N,N,Y,N,N,Y,,P1,NA
perl-Algorithm-Diff,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Alien-Build,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Alien-pkgconf,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-AnyEvent,,,N,N,Y,Y,N,N,,,NA
perl-AnyEvent-AIO,,,N,N,Y,Y,N,N,,,NA
perl-AnyEvent-BDB,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
perl-App-FatPacker,,,N,N,Y,Y,N,N,,,NA
perl-AppConfig,,,N,N,Y,Y,N,N,,,NA
perl-Archive-Extract,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Authen-SASL,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-B-Debug,,,N,N,Y,Y,N,N,,,NA
perl-B-Hooks-EndOfScope,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-B-Hooks-OP-Check,Jyoti,,N,N,Y,N,N,Y,,P1,NA
perl-B-Keywords,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-B-Lint,,,N,N,Y,Y,N,N,,,NA
perl-BDB,Jyoti,,N,N,N,N,Y,N,,P1,NA
perl-BSD-Resource,,,N,N,Y,Y,N,N,,,NA
perl-Browser-Open,,,N,N,Y,Y,N,N,,,NA
perl-Business-ISBN,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Business-ISBN-Data,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-CBOR-XS,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-CSS-Tiny,,,N,N,Y,Y,N,N,,,NA
perl-Class-C3,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Class-C3-XS,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Class-Data-Inheritable,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Class-Factory-Util,,,N,N,Y,Y,N,N,,,NA
perl-Class-ISA,Kevin,,N,N,Y,N,N,Y,,P1,NA
perl-Class-Inspector,,,N,N,Y,Y,N,N,,,NA
perl-Class-Load,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Class-Load-XS,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Class-Method-Modifiers,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Class-Singleton,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Class-Tiny,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Class-XSAccessor,Kevin,,N,N,Y,N,N,Y,,P1,NA
perl-Clone,Kevin,,N,N,Y,N,N,Y,,P1,NA
perl-Color-ANSI-Util,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Color-RGB-Util,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-ColorThemeBase-Static,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-ColorThemeRole-ANSI,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-ColorThemeUtil-ANSI,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-ColorThemes-Standard,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Compress-LZF,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Compress-Raw-Lzma,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Config-AutoConf,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Config-INI,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Config-INI-Reader-Multiline,,,N,N,Y,Y,N,N,,,NA
perl-Config-IniFiles,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Config-Simple,,,N,N,Y,Y,N,N,,,NA
perl-Config-Tiny,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Const-Fast,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Convert-ASN1,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Convert-Bencode,,,N,N,Y,Y,N,N,,,NA
perl-Coro,,,N,N,Y,Y,N,N,,,NA
perl-Coro-Multicore,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Cpanel-JSON-XS,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Crypt-CBC,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Crypt-DES,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Crypt-IDEA,,,N,N,Y,Y,N,N,,,NA
perl-Crypt-OpenSSL-Bignum,,,N,N,Y,Y,N,N,,,NA
perl-Crypt-OpenSSL-Guess,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Crypt-OpenSSL-RSA,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-Crypt-OpenSSL-Random,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Crypt-PasswdMD5,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-DBD-MySQL,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Data-Munge,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Data-OptList,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA
perl-Data-Peek,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Data-Section,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Data-UUID,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-Date-ISO8601,,,N,N,Y,Y,N,N,,,NA
perl-Date-Manip,Jyoti,,N,N,Y,Y,N,N,,P0,NA
perl-DateTime,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-Builder,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-DateParse,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-HTTP,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-IBeat,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-ISO8601,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-Mail,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Format-Strptime,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-Locale,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-TimeZone,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-DateTime-TimeZone-SystemV,,,N,N,Y,Y,N,N,,,NA
perl-DateTime-TimeZone-Tzfile,,,N,N,Y,Y,N,N,,,NA
perl-Devel-CallChecker,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Devel-Caller,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-Devel-Cycle,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-Devel-EnforceEncapsulation,,,N,N,Y,Y,N,N,,,NA
perl-Devel-GlobalDestruction,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-Devel-GlobalDestruction-XS,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-Devel-Hide,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-Devel-Leak,,,N,N,Y,Y,N,N,,,NA
perl-Devel-LexAlias,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-Devel-Size,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Digest-BubbleBabble,Akarsh,,N,N,Y,Y,N,N,,P1,NA
perl-Digest-CRC,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Dist-CheckConflicts,,,N,N,Y,Y,N,N,,,NA
perl-DynaLoader-Functions,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-EV,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Email-Address,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Email-Date-Format,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Encode-Detect,,,N,N,Y,Y,N,N,,,NA
perl-Encode-EUCJPASCII,,,N,N,Y,Y,N,N,,,NA
perl-Encode-IMAPUTF7,,,N,N,Y,Y,N,N,,,NA
perl-Env-ShellWords,Akarsh,,N,N,Y,Y,N,N,,P1,NA
perl-Error,,,N,N,Y,Y,N,N,,,NA
perl-Eval-Closure,,,N,N,Y,Y,N,N,,,NA
perl-Event,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Exception-Class,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-ExtUtils-Config,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-ExtUtils-Depends,Akarsh,,N,N,Y,N,N,Y,,P1,NA
perl-ExtUtils-Helpers,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-ExtUtils-InstallPaths,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-ExtUtils-PkgConfig,,,N,N,Y,Y,N,N,,,NA
perl-FCGI,Akarsh,,N,N,Y,Y,N,N,,P1,NA
perl-FFI-CheckLib,Akarsh,,N,N,Y,Y,N,N,,P1,NA
perl-File-BOM,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-BaseDir,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-CheckTree,,,N,N,Y,Y,N,N,,,NA
perl-File-Copy-Recursive,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-DesktopEntry,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-Find-Object,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-Find-Object-Rule,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-Find-Rule,,,N,N,Y,Y,N,N,,,NA
perl-File-Find-Rule-Perl,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-File-Inplace,,,N,N,Y,Y,N,N,,,NA
perl-File-MimeInfo,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-File-ReadBackwards,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-File-Remove,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-File-ShareDir,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-File-ShareDir-Install,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-File-Slurp,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-File-Slurp-Tiny,,,N,N,Y,Y,N,N,,,NA
perl-File-Slurper,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-File-Type,,,N,N,Y,Y,N,N,,,NA
perl-File-chdir,,,N,N,Y,Y,N,N,,,NA
perl-Font-TTF,,,N,N,Y,Y,N,N,,,NA
perl-FreezeThaw,,,N,N,Y,Y,N,N,,,NA
perl-GD,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-GD-Barcode,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-GSSAPI,,,N,N,Y,Y,N,N,,,NA
perl-Getopt-ArgvFile,,,N,N,Y,Y,N,N,,,NA
perl-Graphics-ColorNamesLite-WWW,,,N,N,Y,Y,N,N,,,NA
perl-Guard,,,N,N,Y,Y,N,N,,,NA
perl-HTML-Tree,,,N,N,Y,Y,N,N,,,NA
perl-Hook-LexWrap,,,N,N,Y,Y,N,N,,,NA
perl-IO-AIO,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-IO-All,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-IO-CaptureOutput,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-IO-Compress-Lzma,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-IO-Multiplex,,,N,N,Y,Y,N,N,,,NA
perl-IO-SessionData,,,N,N,Y,Y,N,N,,,NA
perl-IO-Socket-INET6,Aninda,,N,N,Y,Y,N,N,,P1,NA
perl-IPC-Run3,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-IPC-System-Simple,,,N,N,Y,Y,N,N,,,NA
perl-Image-Base,,,N,N,Y,Y,N,N,,,NA
perl-Image-Info,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Image-Xbm,,,N,N,Y,Y,N,N,,,NA
perl-Image-Xpm,,,N,N,Y,Y,N,N,,,NA
perl-Import-Into,Jagadeesh,,N,N,Y,N,N,Y,,P1,NA
perl-Importer,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Inline-Files,,,N,N,Y,Y,N,N,,,NA
perl-JSON-Color,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-JSON-MaybeXS,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-LDAP,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-LWP-Protocol-https,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Lingua-EN-Inflect,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-List-MoreUtils-XS,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Locale-Codes,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Locale-Maketext-Gettext,Kevin,,N,N,Y,Y,N,N,,P0,NA
perl-Locale-Msgfmt,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-Locale-PO,,,N,N,Y,Y,N,N,,,NA
perl-Log-Message,,,N,N,Y,Y,N,N,,,NA
perl-Log-Message-Simple,,,N,N,Y,Y,N,N,,,NA
perl-MIME-Charset,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-MIME-Lite,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-MIME-Types,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-MLDBM,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-MRO-Compat,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Mail-AuthenticationResults,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Mail-DKIM,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
perl-Mail-IMAPTalk,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Mail-SPF,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-MailTools,,,N,N,Y,Y,N,N,,,NA
perl-Math-Int64,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Mixin-Linewise,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Module-Build-Tiny,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Module-Implementation,,,N,N,Y,N,N,Y,,,NA
perl-Module-Install-AuthorRequires,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-Module-Install-AutoLicense,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Module-Install-GithubMeta,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-Module-Install-ManifestSkip,,,N,N,Y,Y,N,N,,,NA
perl-Module-Install-ReadmeFromPod,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Module-Install-ReadmeMarkdownFromPod,,,N,N,Y,Y,N,N,,,NA
perl-Module-Install-TestBase,,,N,N,Y,Y,N,N,,,NA
perl-Module-Load-Util,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Module-Manifest,,,N,N,Y,Y,N,N,,,NA
perl-Module-Manifest-Skip,,,N,N,Y,Y,N,N,,,NA
perl-Module-Package,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Module-Package-Au,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Module-Pluggable,,,N,N,Y,Y,N,N,,,NA
perl-Module-Runtime,Jyoti,,N,N,Y,N,N,Y,,P1,NA
perl-Module-Signature,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Mojolicious,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Moo,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Mozilla-CA,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Mozilla-LDAP,,,N,N,Y,Y,N,N,,,NA
perl-NNTPClient,,,N,N,Y,Y,N,N,,,NA
perl-Net-CIDR-Lite,,,N,N,Y,Y,N,N,,,NA
perl-Net-DNS,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Net-DNS-Resolver-Mock,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Net-DNS-Resolver-Programmable,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Net-Daemon,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Net-IMAP-Simple,,,N,N,Y,Y,N,N,,,NA
perl-Net-IMAP-Simple-SSL,,,N,N,Y,Y,N,N,,,NA
perl-Net-IP,,,N,N,Y,Y,N,N,,,NA
perl-Net-LibIDN2,Jyoti,,N,N,Y,Y,N,N,,P1,NA
perl-Net-Patricia,,,N,N,Y,Y,N,N,,,NA
perl-Net-SMTP-SSL,,,N,N,Y,Y,N,N,,,NA
perl-Net-SNMP,,,N,N,Y,Y,N,N,,,NA
perl-Net-Telnet,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Newt,,,N,N,Y,Y,N,N,,,NA
perl-Number-Compare,,,N,N,Y,Y,N,N,,,NA
perl-Object-Deadly,,,N,N,Y,Y,N,N,,,NA
perl-Object-HashBase,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-PAR-Dist,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-PPI,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-PPI-HTML,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-PPIx-QuoteLike,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-PPIx-Regexp,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-PPIx-Utilities,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Package-Anon,,,N,N,Y,Y,N,N,,,NA
perl-Package-Constants,,,N,N,Y,Y,N,N,,,NA
perl-Package-DeprecationManager,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Package-Generator,Kevin,,N,N,Y,N,N,Y,,P1,NA
perl-Package-Stash,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Package-Stash-XS,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-PadWalker,Kevin,,N,N,Y,N,N,Y,,P1,NA
perl-Paper-Specs,,,N,N,Y,Y,N,N,,,NA
perl-Parallel-Iterator,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Params-Classify,,,N,N,Y,Y,N,N,,,NA
perl-Params-Util,Kevin,,N,N,Y,N,N,Y,,P1,NA
perl-Params-Validate,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Params-ValidationCompiler,Kevin,,N,N,Y,Y,N,N,,P1,NA
perl-Parse-RecDescent,,,N,N,Y,Y,N,N,,,NA
perl-Parse-Yapp,,,N,N,Y,Y,N,N,,,NA
perl-Path-Tiny,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Perl-Critic,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Perl-Critic-More,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Perl-Destruct-Level,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA
perl-Perl-MinimumVersion,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Perl4-CoreLibs,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-PerlIO-gzip,,,N,N,Y,Y,N,N,,,NA
perl-PerlIO-utf8_strict,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-PkgConfig-LibPkgConf,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-Pod-Coverage-TrustPod,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Pod-Escapes,,,N,N,Y,Y,N,N,,,NA
perl-Pod-Eventual,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Pod-LaTeX,,,N,N,Y,Y,N,N,,,NA
perl-Pod-Markdown,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Pod-POM,,,N,N,Y,Y,N,N,,,NA
perl-Pod-Plainer,,,N,N,Y,Y,N,N,,,NA
perl-Pod-Spell,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Probe-Perl,,,N,N,Y,Y,N,N,,,NA
perl-Razor-Agent,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Readonly,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Readonly-XS,,,N,N,Y,Y,N,N,,,NA
perl-Ref-Util,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Ref-Util-XS,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
perl-Regexp-Pattern-Perl,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Return-MultiLevel,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Role-Tiny,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-SGMLSpm,,,N,N,Y,Y,N,N,,,NA
perl-SNMP_Session,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-SUPER,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA
perl-Scope-Guard,,,N,N,Y,Y,N,N,,,NA
perl-Scope-Upper,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Socket6,,,N,N,Y,Y,N,N,,,NA
perl-Software-License,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Sort-Versions,,,N,N,Y,Y,N,N,,,NA
perl-Specio,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-Spiffy,,,N,N,Y,Y,N,N,,,NA
perl-String-CRC32,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-String-Format,,,N,N,Y,Y,N,N,,,NA
perl-String-Similarity,,,N,N,Y,Y,N,N,,,NA
perl-Sub-Exporter,Sumit,,N,N,Y,N,N,Y,,P1,NA
perl-Sub-Exporter-Progressive,Sumit,,N,N,Y,N,N,Y,,P1,NA
perl-Sub-Identify,Sumit,,N,N,Y,N,N,Y,,P1,NA
perl-Sub-Info,,,N,N,Y,Y,N,N,,,NA
perl-Sub-Install,Sumit,,N,N,Y,N,N,Y,,P1,NA
perl-Sub-Quote,Sumit,,N,N,Y,N,N,Y,,P1,NA
perl-Sub-Uplevel,,,N,N,Y,Y,N,N,,,NA
perl-Switch,,,N,N,Y,Y,N,N,,,NA
perl-Syntax-Highlight-Engine-Kate,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-Sys-CPU,,,N,N,Y,Y,N,N,,,NA
perl-Sys-MemInfo,,,N,N,Y,Y,N,N,,,NA
perl-Taint-Runtime,,,N,N,Y,Y,N,N,,,NA
perl-Task-Weaken,,,N,N,Y,Y,N,N,,,NA
perl-Term-Size-Any,,,N,N,Y,Y,N,N,,,NA
perl-Term-Size-Perl,,,N,N,Y,Y,N,N,,,NA
perl-Term-Table,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-Term-UI,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-TermReadKey,,,N,N,Y,Y,N,N,,,NA
perl-Test-Base,,,N,N,Y,Y,N,N,,,NA
perl-Test-CPAN-Meta,,,N,N,Y,Y,N,N,,,NA
perl-Test-CPAN-Meta-JSON,,,N,N,Y,Y,N,N,,,NA
perl-Test-ClassAPI,,,N,N,Y,Y,N,N,,,NA
perl-Test-Differences,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Test-DistManifest,,,N,N,Y,Y,N,N,,,NA
perl-Test-Distribution,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-Test-EOL,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Test-Exception,,,N,N,Y,Y,N,N,,,NA
perl-Test-Exit,,,N,N,Y,Y,N,N,,,NA
perl-Test-FailWarnings,,,N,N,Y,Y,N,N,,,NA
perl-Test-File,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Test-File-ShareDir,Sumit,,N,N,Y,Y,N,N,,P1,NA
perl-Test-Harness,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Test-HasVersion,,,N,N,Y,Y,N,N,,,NA
perl-Test-InDistDir,,,N,N,Y,Y,N,N,,,NA
perl-Test-Inter,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
