Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
custodia,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
dbus-c++,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
dbxtool,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,fwupd
dcraw,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
deltarpm,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
delve,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
device-mapper-persistent-data,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
diffstat,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
discount,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
distribution-gpg-keys,Kevin,,N,N,Y,N,N,Y,,P1,NA
dleyna-connector-dbus,Sreenivasulu,,N,N,Y,Y,N,N,,P1,dleyna
dleyna-core,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
dmraid,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
docbook-simple,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
docbook-slides,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
docbook-utils,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
docbook5-style-xsl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
dogtail,Sumit,,Y,N,Y,Y,N,N,,P1,NA
dotconf,Sumit,,N,N,Y,Y,N,N,,P1,NA
dovecot,Sumit,,N,N,Y,Y,N,N,,P1,NA
dpkg,Sumit,To be removed,Y,Y,Y,Y,N,N,This package was removed after discussion.  Reason:  It is no longer in required.,P1,NA
driverctl,Sumit,,N,N,Y,Y,N,N,,P1,NA
dropwatch,Sumit,,N,N,Y,Y,N,N,,P1,NA
drpm,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
dumpet,Sumit,,Y,N,Y,Y,N,N,,P1,NA
dvd+rw-tools,Sumit,,N,N,Y,Y,N,N,,P1,NA
dyninst,Sumit,,N,N,Y,Y,N,N,,P1,NA
ecj,Sumit,Y,Y,Y,Y,Y,N,N,"proceeding with upgrade to version 4.23 as version 4.33, from the upstream doesn't have a release candidate yet",P1,NA
edac-utils,Sumit,,N,N,Y,Y,N,N,,P1,NA
efax,Sumit,,N,N,Y,Y,N,N,,P1,NA
efi-rpm-macros,Sumit,Y,Y,Y,Y,Y,N,N,proceeding with upgrade to version 5 as version 6 from the upstream doesn't have a release candidate yet,CP_batch1,NA
egl-wayland,Sumit,,N,N,Y,N,N,Y,,P1,NA
eglexternalplatform,Sumit,,N,N,Y,N,N,Y,,P1,NA
elinks,Sumit,,N,N,Y,Y,N,N,,P1,NA
