S.No.,Package Name,Dev,PR Link,Reviewer,Status,
121,diffstat,Sreenivasulu,https://github.com/microsoft/azurelinux/pull/10920,Suresh,Dev Approved,
122,discount,Sreenivasulu,https://github.com/microsoft/azurelinux/pull/10844,,,
123,distribution-gpg-keys,Kevin,,,,
124,dleyna-connector-dbus,Sreenivasulu,,,,
125,dleyna-core,Sreenivasulu,,,,
126,dmraid,Sreenivasulu,,,,
127,docbook-simple,Sreenivasulu,,,,
128,docbook-slides,Sreenivasulu,,,,
129,docbook-utils,Sreenivasulu,,,,
130,docbook5-style-xsl,Sreenivasulu,,,,
131,dogtail,Sumit, ,,,
132,dotconf,Sumit,https://github.com/microsoft/azurelinux/pull/10752,,,
133,dovecot,Sumit,,,,
134,dpkg,Sumit,https://github.com/microsoft/azurelinux/pull/10832,,,
135,driverctl,Sumit,https://github.com/microsoft/azurelinux/pull/10833,,,
136,dropwatch,Sumit,https://github.com/microsoft/azurelinux/pull/10842,,,
137,drpm,Sumit,https://github.com/microsoft/azurelinux/pull/10847,,,
138,dumpet,Sumit, ,,,
139,dvd+rw-tools,Sumit, ,,,
140,dyninst,Sumit, ,,,
141,ecj,Sumit, ,,,
142,edac-utils,Sumit,https://github.com/microsoft/azurelinux/pull/10860,,,
143,efax,Sumit, ,,,
144,efi-rpm-macros,Sumit,https://github.com/microsoft/azurelinux/pull/10928,,,
145,egl-wayland,Sumit, ,,,
146,eglexternalplatform,Sumit, ,,,
147,elinks,Sumit, ,,,
148,enca,Sumit, ,,,
149,enchant,Sumit, ,,,
150,enscript,Sumit, ,,,
151,evemu,Sumit, ,,,
152,exempi,Jyoti,https://github.com/microsoft/azurelinux/pull/10796,Suresh,Dev Approved,
153,exiv2,Jyoti,https://github.com/microsoft/azurelinux/pull/10820,,,
154,fabtests,Jyoti,https://github.com/microsoft/azurelinux/pull/10982,,,
155,facter,Jyoti,,,,
156,fakechroot,Jyoti,,,,
157,fapolicyd,Jyoti,,,,
158,fdk-aac-free,Jyoti,,,,
159,fence-virt,Jyoti,,,,
160,fetchmail,Jyoti,https://github.com/microsoft/azurelinux/pull/10856,,,
161,fftw,Jyoti,,,,
162,filebench,Jyoti,,,,
163,fipscheck,Jyoti,,,,
164,flac,Jyoti,,,,
165,flite,Jyoti,,,,
166,fltk,Jyoti,https://github.com/microsoft/azurelinux/pull/11267,,,
167,fonts-rpm-macros,Jyoti,,,,
168,foomatic-db,Jyoti,,,,
169,freeglut,Jyoti,,,,
170,freeradius,Jyoti,,,,
171,freexl,Jyoti,,,,
172,fros,Jyoti,,,,
173,fstrm,Jyoti,,,,
174,fuse-overlayfs,Jyoti,https://github.com/microsoft/azurelinux/pull/10921,,,
175,fuse-sshfs,Jyoti,https://github.com/microsoft/azurelinux/pull/11268,,,
176,fxload,Jagadeesh,,,,
177,gavl,Jagadeesh,,,,
178,gconf-editor,Jagadeesh,,,,
179,gcr,Jagadeesh,,,,
180,gdal,Jagadeesh,,,,
181,gdisk,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10950,Suresh,Dev Approved,
182,generic-logos,Jagadeesh,,,,
183,genwqe-tools,Jagadeesh,,,,
184,geoclue2,Jagadeesh,,,,
185,geolite2,Jagadeesh,,,,
186,geronimo-specs,Jagadeesh,,,,
187,ghc-srpm-macros,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10788,,,
188,gl-manpages,Jagadeesh,,,,
189,glassfish-annotation-api,Jagadeesh,,,,
190,glew,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10871,,,
191,glm,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11755,,,
192,gnome-desktop-testing,Jagadeesh,,,,
193,gnome-doc-utils,Jagadeesh,,,,
194,gnome-icon-theme,Jagadeesh,,,,
195,gnome-keyring,Jagadeesh,,,,
196,gnu-getopt,Jagadeesh,,,,
197,gnu-regexp,Jagadeesh,,,,
198,go-rpm-macros,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11160,,,
199,gom,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11155,,,
200,google-api-python-client,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11175,,,
201,google-crosextra-caladea-fonts,Jagadeesh,,,,
202,google-crosextra-carlito-fonts,Jagadeesh,,,,
203,google-noto-cjk-fonts,Jagadeesh,,,,
204,google-noto-emoji-fonts,Jagadeesh,,,,
205,gphoto2,Kevin,https://github.com/microsoft/azurelinux/pull/10776,,,
206,gpm,Kevin,,,,
207,gpsbabel,Kevin,,,,
208,graphene,Kevin,https://github.com/microsoft/azurelinux/pull/10779,,,
209,graphite2,Kevin,,,,
210,gsl,Kevin,https://github.com/microsoft/azurelinux/pull/10740,,,
211,gspell,Kevin,https://github.com/microsoft/azurelinux/pull/10741,,,
212,gssdp,Kevin,https://github.com/microsoft/azurelinux/pull/10790,,,
213,gssntlmssp,Kevin,https://github.com/microsoft/azurelinux/pull/10791,,,
214,gstreamer1,Kevin,https://github.com/microsoft/azurelinux/pull/10805,,,
215,gstreamer1-plugins-base,Kevin,https://github.com/microsoft/azurelinux/pull/10828,,,
216,gtk-vnc,Kevin,https://github.com/microsoft/azurelinux/pull/10838,,,
217,gtkspell,Kevin,,,,
218,guava20,Kevin,,,,
219,gupnp,Kevin,,,,
220,gupnp-av,Kevin,,,,
221,gupnp-dlna,Kevin,,,,
222,gupnp-igd,Kevin,,,,
223,hawtjni-runtime,Kevin,,,,
224,hdf,Kevin,https://github.com/microsoft/azurelinux/pull/10864,,,
225,highlight,Kevin,https://github.com/microsoft/azurelinux/pull/11316,,,
226,hping3,Kevin,,,,
227,hsakmt,Kevin,,,,
228,httpcomponents-core,Kevin,,,,
229,hunspell-af,Neeraj,,,,
230,hunspell-ar,Neeraj,NOT_FOUND,,,
231,hunspell-as,Neeraj,NOT_FOUND,,,
232,hunspell-ast,Neeraj,NOT_FOUND,,,
233,hunspell-az,Akarsh,https://github.com/microsoft/azurelinux/pull/11588,,,
234,hunspell-be,Neeraj,NOT_FOUND,,,
235,hunspell-bg,Neeraj,NOT_FOUND,,,
236,hunspell-bn,Neeraj,NOT_FOUND,,,
237,hunspell-br,Neeraj,NOT_FOUND,,,
238,hunspell-ca,Akarsh,NOT_FOUND,,,
239,hunspell-cop,Neeraj,NOT_FOUND,,,
240,hunspell-csb,Akarsh,https://github.com/microsoft/azurelinux/pull/11590,,,
241,hunspell-cv,Neeraj,NOT_FOUND,,,
242,hunspell-cy,Neeraj,NOT_FOUND,,,
243,hunspell-da,Neeraj,NOT_FOUND,,,
244,hunspell-de,Akarsh,NOT_FOUND,,,
245,hunspell-dsb,Neeraj,NOT_FOUND,,,
246,hunspell-el,Neeraj,NOT_FOUND,,,
247,hunspell-eo,Neeraj,NOT_FOUND,,,
248,hunspell-es,Akarsh,NOT_FOUND,,,
249,hunspell-et,Neeraj,NOT_FOUND,,,
250,hunspell-eu,Akarsh,https://github.com/microsoft/azurelinux/pull/11707,,,
251,hunspell-fa,Neeraj,NOT_FOUND,,,
252,hunspell-fj,Neeraj,NOT_FOUND,,,
253,hunspell-fo,Neeraj,NOT_FOUND,,,
254,hunspell-fr,Neeraj,NOT_FOUND,,,
255,hunspell-fur,Neeraj,NOT_FOUND,,,
256,hunspell-fy,Neeraj,NOT_FOUND,,,
257,hunspell-ga,Akarsh,https://github.com/microsoft/azurelinux/pull/11705,,,
258,hunspell-gd,Neeraj,NOT_FOUND,,,
259,hunspell-gl,Neeraj,NOT_FOUND,,,
260,hunspell-grc,Neeraj,NOT_FOUND,,,
261,hunspell-gu,Neeraj,NOT_FOUND,,,
262,hunspell-gv,Neeraj,NOT_FOUND,,,
263,hunspell-haw,Neeraj,NOT_FOUND,,,
264,hunspell-hi,Neeraj,NOT_FOUND,,,
265,hunspell-hil,Neeraj,NOT_FOUND,,,
266,hunspell-hr,Neeraj,NOT_FOUND,,,
267,hunspell-hsb,Neeraj,NOT_FOUND,,,
268,hunspell-ht,Neeraj,NOT_FOUND,,,
269,hunspell-hu,Neeraj,NOT_FOUND,,,
270,hunspell-hy,Neeraj,NOT_FOUND,,,
271,hunspell-ia,Neeraj,NOT_FOUND,,,
272,hunspell-id,Neeraj,NOT_FOUND,,,
273,hunspell-is,Neeraj,NOT_FOUND,,,
274,hunspell-it,Akarsh,https://github.com/microsoft/azurelinux/pull/11701,,,
275,hunspell-kk,Neeraj,NOT_FOUND,,,
276,hunspell-km,Neeraj,NOT_FOUND,,,
277,hunspell-kn,Neeraj,NOT_FOUND,,,
278,hunspell-ko,Neeraj,NOT_FOUND,,,
279,hunspell-ku,Neeraj,NOT_FOUND,,,
280,hunspell-ky,Neeraj,NOT_FOUND,,,
281,hunspell-la,Neeraj,NOT_FOUND,,,
282,hunspell-lb,Neeraj,NOT_FOUND,,,
283,hunspell-ln,Neeraj,NOT_FOUND,,,
284,hunspell-mai,Neeraj,NOT_FOUND,,,
285,hunspell-mg,Neeraj,NOT_FOUND,,,
286,hunspell-mi,Neeraj,NOT_FOUND,,,
287,hunspell-mk,Neeraj,NOT_FOUND,,,
288,hunspell-ml,Neeraj,NOT_FOUND,,,
289,hunspell-mn,Neeraj,NOT_FOUND,,,
290,hunspell-mos,Neeraj,NOT_FOUND,,,
291,hunspell-mr,Akarsh,https://github.com/microsoft/azurelinux/pull/11703,,,
292,hunspell-ms,Neeraj,NOT_FOUND,,,
293,hunspell-mt,Neeraj,NOT_FOUND,,,
294,hunspell-nds,Neeraj,NOT_FOUND,,,
295,hunspell-ne,Neeraj,NOT_FOUND,,,
296,hunspell-nl,Akarsh,https://github.com/microsoft/azurelinux/pull/11687,,,
297,hunspell-no,Neeraj,NOT_FOUND,,,
298,hunspell-nr,Neeraj,NOT_FOUND,,,
299,hunspell-nso,Neeraj,NOT_FOUND,,,
300,hunspell-ny,Neeraj,NOT_FOUND,,,
301,hunspell-om,Neeraj,NOT_FOUND,,,
302,hunspell-or,Neeraj,NOT_FOUND,,,
303,hunspell-pa,Neeraj,NOT_FOUND,,,
304,hunspell-pl,Akarsh,https://github.com/microsoft/azurelinux/pull/11685,,,
305,hunspell-pt,Akarsh,https://github.com/microsoft/azurelinux/pull/11684,,,
306,hunspell-quh,Neeraj,NOT_FOUND,,,
307,hunspell-ro,Akarsh,https://github.com/microsoft/azurelinux/pull/11681,,,
308,hunspell-ru,Neeraj,NOT_FOUND,,,
309,hunspell-rw,Neeraj,NOT_FOUND,,,
310,hunspell-se,Neeraj,NOT_FOUND,,,
311,hunspell-shs,Neeraj,NOT_FOUND,,,
312,hunspell-si,Neeraj,NOT_FOUND,,,
313,hunspell-sk,Neeraj,NOT_FOUND,,,
314,hunspell-sl,Neeraj,NOT_FOUND,,,
315,hunspell-smj,Neeraj,NOT_FOUND,,,
316,hunspell-so,Neeraj,NOT_FOUND,,,
317,hunspell-sq,Neeraj,NOT_FOUND,,,
318,hunspell-sr,Neeraj,NOT_FOUND,,,
319,hunspell-sv,Neeraj,NOT_FOUND,,,
320,hunspell-sw,Neeraj,NOT_FOUND,,,
321,hunspell-ta,Neeraj,NOT_FOUND,,,
322,hunspell-te,Neeraj,NOT_FOUND,,,
323,hunspell-tet,Neeraj,NOT_FOUND,,,
324,hunspell-th,Neeraj,NOT_FOUND,,,
325,hunspell-tk,Neeraj,NOT_FOUND,,,
326,hunspell-tl,Neeraj,NOT_FOUND,,,
327,hunspell-tn,Neeraj,NOT_FOUND,,,
328,hunspell-tpi,Neeraj,NOT_FOUND,,,
329,hunspell-ts,Neeraj,NOT_FOUND,,,
330,hunspell-uk,Neeraj,NOT_FOUND,,,
331,hunspell-uz,Neeraj,NOT_FOUND,,,
332,hunspell-ve,Neeraj,NOT_FOUND,,,
333,hunspell-vi,Neeraj,NOT_FOUND,,,
334,hunspell-wa,Neeraj,NOT_FOUND,,,
335,hunspell-xh,Neeraj,NOT_FOUND,,,
336,hunspell-yi,Neeraj,NOT_FOUND,,,
337,hyphen,Sreenivasulu,,,,
338,hyphen-as,Sreenivasulu,,,,
339,hyphen-bg,Sreenivasulu,,,,
340,hyphen-bn,Sreenivasulu,,,,
341,hyphen-ca,Sreenivasulu,,,,
342,hyphen-da,Sreenivasulu,,,,
343,hyphen-de,Sreenivasulu,,,,
344,hyphen-el,Sreenivasulu,,,,
345,hyphen-es,Sreenivasulu,,,,
346,hyphen-fa,Sreenivasulu,,,,
347,hyphen-fo,Sreenivasulu,,,,
348,hyphen-fr,Sreenivasulu,,,,
349,hyphen-ga,Sreenivasulu,,,,
350,hyphen-gl,Sreenivasulu,,,,
351,hyphen-grc,Sreenivasulu,,,,
352,hyphen-gu,Sreenivasulu,,,,
353,hyphen-hi,Sreenivasulu,,,,
354,hyphen-hsb,Sreenivasulu,,,,
355,hyphen-hu,Sreenivasulu,,,,
356,hyphen-ia,Sreenivasulu,,,,
357,hyphen-id,Sreenivasulu,,,,
358,hyphen-is,Sreenivasulu,,,,
359,hyphen-it,Sreenivasulu,,,,
360,hyphen-kn,Sreenivasulu,,,,
361,hyphen-ku,Sreenivasulu,,,,
362,hyphen-lt,Sreenivasulu,,,,
363,hyphen-mi,Sreenivasulu,,,,
364,hyphen-ml,Sreenivasulu,,,,
365,hyphen-mn,Sreenivasulu,,,,
366,hyphen-mr,Sreenivasulu,,,,
367,hyphen-nl,Sreenivasulu,,,,
368,hyphen-or,Sreenivasulu,,,,
369,hyphen-pa,Sreenivasulu,,,,
370,hyphen-pl,Sreenivasulu,,,,
371,hyphen-pt,Sreenivasulu,,,,
372,hyphen-ro,Sreenivasulu,,,,
373,hyphen-ru,Sreenivasulu,,,,
374,hyphen-sa,Sreenivasulu,,,,
375,hyphen-sk,Sreenivasulu,,,,
376,hyphen-sl,Sreenivasulu,,,,
377,hyphen-sv,Sreenivasulu,,,,
378,hyphen-ta,Sreenivasulu,,,,
379,hyphen-te,Sreenivasulu,,,,
380,hyphen-tk,Sreenivasulu,,,,
381,hyphen-uk,Sreenivasulu,,,,
382,ibus,Sumit,,,,
383,ibus-chewing,Sumit,,,,
384,ibus-hangul,Sumit,,,,
385,ibus-kkc,Sumit,,,,
386,ibus-libzhuyin,Sumit,,,,
387,ibus-m17n,Sumit,,,,
388,ibus-rawcode,Sumit,,,,
389,ibus-sayura,Sumit,,,,
390,ibus-table,Sumit,,,,
391,ibus-table-chinese,Sumit,,,,
392,icc-profiles-openicc,Sumit,,,,
393,icon-naming-utils,Sumit,,,,
394,iftop,Sumit,,,,
395,iio-sensor-proxy,Sumit,,,,
396,ilmbase,Sumit,,,,
397,imaptest,Sumit,,,,
398,indent,Sumit,https://github.com/microsoft/azurelinux/pull/11000,,,
399,iniparser,Sumit,,,,
400,intel-cmt-cat,Sumit,https://github.com/microsoft/azurelinux/pull/11001,,,
401,ioping,Sumit,https://github.com/microsoft/azurelinux/pull/11003,,,
402,ipa-pgothic-fonts,Sumit,,,,
403,ipcalc,Sumit,https://github.com/microsoft/azurelinux/pull/11004,,,
404,iprutils,Sumit,https://github.com/microsoft/azurelinux/pull/11008,,,
405,iptstate,Sumit,,,,
406,irssi,Sumit,,,,
407,iso-codes,Akarsh,,,,
408,isomd5sum,Akarsh,,,,
409,iwd,Akarsh,,,,
410,jabberpy,Akarsh,,,,
411,jakarta-taglibs-standard,Akarsh,,,,
412,jansi,Akarsh,,,,
413,jarjar,Akarsh,,,,
414,javacc,Akarsh,,,,
415,javacc-bootstrap,Akarsh,,,,
416,jbigkit,Akarsh,,,,
417,jboss-interceptors,Akarsh,,,,
418,jdepend,Akarsh,,,,
419,jdom2,Akarsh,,,,
420,jfsutils,Akarsh,,,,
421,jimtcl,Akarsh,,,,
422,jlex,Akarsh,,,,
423,jline,Akarsh,,,,
424,jose,Akarsh,,,,
425,js-jquery,Akarsh,,,,
426,jsch,Akarsh,,,,
427,jsoncpp,Akarsh,,,,
428,jsoup,Akarsh,,,,
429,jtidy,Akarsh,,,,
430,junitperf,Akarsh,,,,
431,jzlib,Akarsh,,,,
432,kde-filesystem,Aninda,https://github.com/microsoft/azurelinux/pull/11475,,,
433,kernel-rt,Aninda,,,,
434,keybinder3,Aninda,,,,
435,keycloak-httpd-client-install,Aninda,,,,
436,kronosnet,Aninda,,,,
437,kyotocabinet,Aninda,,,,
438,ladspa,Aninda,,,,
439,lame,Aninda,,,,
440,langtable,Aninda,,,,
441,lasso,Aninda,,,,
442,latencytop,Aninda,,,,
443,lcov,Aninda,,,,
444,ledmon,Aninda,,,,
445,lensfun,Aninda,,,,
446,lftp,Aninda,,,,
447,libEMF,Aninda,,,,
448,libIDL,Aninda,,,,
449,libXScrnSaver,Aninda,https://github.com/microsoft/azurelinux/pull/11377,,,
450,libXres,Aninda,,,,
451,libXv,Aninda,,,,
452,libabw,Aninda,,,,
453,libao,Aninda,,,,
454,libappstream-glib,Aninda,,,,
455,libart_lgpl,Aninda,,,,
456,libasyncns,Aninda,,,,
457,libavc1394,Jyoti,,,,
458,libblockdev,Jyoti,,,,
459,libbsd,Jyoti,https://github.com/microsoft/azurelinux/pull/10953,,,
460,libbytesize,Jyoti,https://github.com/microsoft/azurelinux/pull/10964,,,
461,libcanberra,Jyoti,,,,
462,libcdio,Jyoti,,,,
463,libcdio-paranoia,Jyoti,,,,
464,libcdr,Jyoti,,,,
465,libchewing,Jyoti,,,,
466,libcli,Jyoti,https://github.com/microsoft/azurelinux/pull/11024,,,
467,libcmis,Jyoti,https://github.com/microsoft/azurelinux/pull/11026,,,
468,libcmpiutil,Jyoti,,,,
469,libcroco,Jyoti,,,,
470,libdap,Jyoti,https://github.com/microsoft/azurelinux/pull/11052,,,
471,libdatrie,Jyoti,https://github.com/microsoft/azurelinux/pull/11048,,,
472,libdazzle,Jyoti,https://github.com/microsoft/azurelinux/pull/11047,,,
473,libdbi,Jyoti,,,,
474,libdbi-drivers,Jyoti,,,,
475,libdbusmenu,Jyoti,,,,
476,libdc1394,Jyoti,,,,
477,libdeflate,Jyoti,https://github.com/microsoft/azurelinux/pull/10658,,,
478,libdmx,Jyoti,https://github.com/microsoft/azurelinux/pull/11142,,,
479,libdvdnav,Jyoti,,,,
480,libdvdread,Jyoti,https://github.com/microsoft/azurelinux/pull/11073,,,
481,libeasyfc,Jyoti,https://github.com/microsoft/azurelinux/pull/11143,,,
482,libecap,Jagadeesh,,,,
483,libecb,Jagadeesh,,,,
484,libeot,Jagadeesh,,,,
485,libepubgen,Jagadeesh,,,,
486,libesmtp,Jagadeesh,,,,
487,libetonyek,Jagadeesh,,,,
488,libexttextcat,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10918,,,
489,libfreehand,Jagadeesh,,,,
490,libftdi,Jagadeesh,,,,
491,libgadu,Jagadeesh,,,,
492,libgdither,Jagadeesh,,,,
493,libgee,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11227,,,
494,libgee06,Jagadeesh,,,,
495,libgeotiff,Jagadeesh,,,,
496,libgexiv2,Jagadeesh,,,,
497,libgit2-glib,Jagadeesh,,,,
498,libglade2,Jagadeesh,,,,
499,libgovirt,Jagadeesh,,,,
500,libgphoto2,Kevin,https://github.com/microsoft/azurelinux/pull/10775,,,
501,libgsf,Jagadeesh,,,,
502,libgta,Jagadeesh,,,,
503,libgxps,Jagadeesh,,,,
504,libhangul,Jagadeesh,,,,
505,libibcommon,Jagadeesh,,,,
506,libicns,Jagadeesh,,,,
507,libid3tag,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10843,,,
508,libidn2,Kevin,,,,
509,libiec61883,Kevin,,,,
510,libieee1284,Kevin,,,,
511,libimobiledevice,Kevin,,,,
512,libindicator,Kevin,,,,
513,libiodbc,Kevin,https://github.com/microsoft/azurelinux/pull/10932,,,
514,libipt,Kevin,https://github.com/microsoft/azurelinux/pull/10939,,,
515,libiptcdata,Kevin,,,,
516,libjcat,Kevin,https://github.com/microsoft/azurelinux/pull/10943,,,
517,libkeepalive,Kevin,,,,
518,libkkc,Kevin,,,,
519,libkkc-data,Kevin,,,,
520,libkml,Kevin,,,,
521,liblangtag,Kevin,https://github.com/microsoft/azurelinux/pull/11154,,,
522,libldb,Kevin,,,,
523,liblerc,Kevin,,,,
524,liblockfile,Kevin,https://github.com/microsoft/azurelinux/pull/10977,,,
525,liblouis,Kevin,https://github.com/microsoft/azurelinux/pull/10980,,,
526,liblqr-1,Kevin,NOT_FOUND,,,
527,libmad,Kevin,https://github.com/microsoft/azurelinux/pull/11015,,,
528,libmediaart,Kevin,https://github.com/microsoft/azurelinux/pull/11036,,,
529,libmicrohttpd,Kevin,,,,
530,libmikmod,Kevin,,,,
531,libmodman,Kevin,,,,
532,libmodplug,Kevin,,,,
533,libmodulemd1,Akarsh,,,,
534,libmpcdec,Akarsh,,,,
535,libmspub,Akarsh,,,,
536,libmtp,Akarsh,,,,
537,libmusicbrainz5,Akarsh,,,,
538,libmwaw,Akarsh,,,,
539,libnet,Akarsh,,,,
540,libntlm,Akarsh,,,,
541,libnumbertext,Akarsh,,,,
542,liboauth,Akarsh,,,,
543,libodfgen,Akarsh,,,,
544,libofa,Akarsh,,,,
545,libogg,Akarsh,,,,
546,liboggz,Akarsh,,,,
547,liboil,Akarsh,,,,
548,libomxil-bellagio,Akarsh,,,,
549,libopenraw,Akarsh,,,,
550,liboping,Akarsh,,,,
551,libosinfo,Akarsh,,,,
552,libotf,Akarsh,,,,
553,libotr,Sumit,https://github.com/microsoft/azurelinux/pull/11207,,,
554,libpagemaker,Akarsh,,,,
555,libpaper,Akarsh,,,,
556,libpeas,Akarsh,,,,
557,libpfm,Akarsh,https://github.com/microsoft/azurelinux/pull/11646,,,
558,libpinyin,Sumit,,,,
559,libplist,Kevin,https://github.com/microsoft/azurelinux/pull/10884,,,
560,libpmemobj-cpp,Sumit,,,,
561,libpng12,Sumit,,,,
562,libpng15,Sumit,,,,
